filename,checksum,uid,θh_pos_is_ventral,label,type,event,t_range
2023-03-08-03-data.h5,c308bc45ccb819397a018393b1dfff77e0235af0e271284a2a652ec572dbceb5,2023-03-08-03,true,true,"neuropal,sickness",,"1:507"
2023-03-16-01-data.h5,9e9d6e28c31ad906a72d2ef83ec7dcb4c8686f648b82a762e31b6bef09431552,2023-03-16-01,true,true,"neuropal,sickness",,"1:205"
2023-04-06-01-data.h5,7dba089fbbfb26dbe2aaa2fa765ff691076a764bc68e3a5747891836429c1e85,2023-04-06-01,false,true,"neuropal,sickness",,"1:800"
2023-04-07-22-data.h5,d05e7c4fd4ae540485dc61678f8e2a3c4dff07c957e8e6a9578855457d0ef586,2023-04-07-22,false,true,"neuropal,sickness",,"1:800"
2023-04-20-02-data.h5,4bd3c0193fdc5940b0f8df66d6ed0497564c8e6ead67b55dc6bbafbcd1306ec6,2023-04-20-02,true,true,"neuropal,sickness",,"1:800"
2023-04-25-04-data.h5,2fff442c7d53bba439b5785b6f863c87e2effa4711a08551bbe48bc600fab600,2023-04-25-04,false,true,"neuropal,sickness",,"601:800"
2023-05-05-22-data.h5,a397d22ee29dcb0736ddd3dfb7349662da1e9177dda3a90265bf5600849897cb,2023-05-05-22,false,true,"neuropal,sickness",,"1:800"
2023-05-10-16-data.h5,9f794d949297439c598d9193d39c3a3c860149c0bbf2ec9c32aa885633ac35ef,2023-05-10-16,false,true,"neuropal,sickness",,"1:800"
