filename,checksum,uid,θh_pos_is_ventral,label,type,event,t_range
2022-07-15-12-data.h5,a151870788b0f1b5e2833594f882f013d5393726415a18a3cd3206a52163038f,2022-07-15-12,true,true,"baseline,neuropal",
2022-07-20-01-data.h5,9bc1e197491e1e267f2a76dc21670598d7a257ece91fb8214dfdef9c1aa27ca6,2022-07-20-01,true,true,"baseline,neuropal",
2022-07-26-01-data.h5,84ef44b1b5bb6d5a74ba694b0133838ae379f54cbe86fc693264881e61c1347c,2022-07-26-01,true,true,"baseline,neuropal",
2022-08-02-01-data.h5,fdc30fb834fbbc9fc12bac4c36bd122597bcef398b94189cf2a818d363d7ee6a,2022-08-02-01,true,true,"baseline,neuropal",
2022-12-21-06-data.h5,075123b29ae0496942a8bea33edfb8a020c855a8f7185f07ee82b92d3dcce8f9,2022-12-21-06,true,true,"heat,neuropal",stim_begin_confocal=[804]
2023-01-05-01-data.h5,e6dee56636db4b9c9dc84bc5d6669a5e095321769cd70efd48af918d1e7a9769,2023-01-05-01,true,true,"heat,neuropal",stim_begin_confocal=[802]
2023-01-05-18-data.h5,b1404f05a55d6beaea12e5af433d762b9a4a61bb78c7879a86e92fddaa3185b3,2023-01-05-18,true,true,"heat,neuropal",stim_begin_confocal=[802]
2023-01-06-01-data.h5,05c0ff0b03a8be923a18865c99aeaed66fb4dbd3b2055fbbd775c38afa8c7ba6,2023-01-06-01,true,true,"heat,neuropal",stim_begin_confocal=[802]
2023-01-06-08-data.h5,31c4ac83cd121d852710a0555eaee3a6455ca6f0c336b44828fac99cd749da12,2023-01-06-08,true,true,"heat,neuropal",stim_begin_confocal=[802]
2023-01-06-15-data.h5,ce71516271c5e1d1ba3674982614cc4949195f526f923399e90ba15a6243216a,2023-01-06-15,true,true,"heat,neuropal",stim_begin_confocal=[803]
2023-01-09-08-data.h5,4470e5aa031a575e4b48bc0afd317aff5abda36b9fd0378ed125db4d460d7434,2023-01-09-08,true,true,"heat,neuropal",stim_begin_confocal=[802]
2023-01-09-15-data.h5,52636bd88195bce0619e4eef9555a27a61f27f0c88a2666badfc6f6e5458d0d6,2023-01-09-15,true,true,"heat,neuropal",stim_begin_confocal=[803]
2023-01-09-22-data.h5,581504b215401d91a4231787950d0b3a2058c3df48da1cd964c134cd8ead91e7,2023-01-09-22,true,true,"heat,neuropal",stim_begin_confocal=[802]
2023-01-09-28-data.h5,811ab2a3fc3bd792967ad677c7ac6b8f92c0e29c31f021cfa84db34cae96e2a5,2023-01-09-28,true,true,"baseline,neuropal",
2023-01-10-07-data.h5,0aacf40d21c574c204d1ad683e86d57cc7cc2de42071d532dbc3ae256519d0ff,2023-01-10-07,true,true,"heat,neuropal",stim_begin_confocal=[802]
2023-01-10-14-data.h5,74ee95b13fc9b37068558b32cc2bf1a2a6d1407932ff9326f27722bc63693723,2023-01-10-14,true,true,"heat,neuropal",stim_begin_confocal=[803]
2023-01-13-07-data.h5,d858a3ae9852fb6eb4fa8eca7f25b0f0d4db5789c7066680b5bd89a00212a4f5,2023-01-13-07,true,true,"heat,neuropal",stim_begin_confocal=[802]
2023-01-16-01-data.h5,bf05f27fd97a55d5bc2cfc77d0fe8edf95325320064ee33f3653581d2061bdec,2023-01-16-01,true,true,"heat,neuropal",stim_begin_confocal=[803]
2023-01-16-08-data.h5,756b5698e811ea388f06c2e86bf12c9fcbbbd76860184334293a989c3d8f488a,2023-01-16-08,true,true,"heat,neuropal",stim_begin_confocal=[803]
